 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.6424462466993587 0.6744870697481389 0.7716353925082577 0.5 0.6110367892976589 0.4990990990990991 0.6425012272950417 0.581672203765227 0.5072925621794682 0.6341955386805885 0.6458609271523179
cv2 0.6734265734265734 0.6693181818181818 0.7710372403915016 0.5 0.5848849945235487 0.507473544973545 0.6169022703628909 0.5357142857142857 0.5055130915596031 0.6045675763985623 0.6333333333333333
cv3 0.633773657653429 0.6545970171929203 0.755464192845597 0.4991749174917492 0.5848867595818815 0.4972972972972973 0.6363879176379177 0.5808416389811739 0.4990942028985507 0.6452900170549567 0.6420238095238096
cv4 0.6511159053712245 0.6949185850645705 0.7821013977730396 0.4991652754590985 0.5822884012539185 0.49910071942446044 0.6439951573849879 0.6086276674025018 0.49907749077490776 0.6483159117305459 0.6906410256410257
cv5 0.6447890371438875 0.667279618192027 0.7442775089833913 0.49751655629139074 0.5702517162471396 0.5083333333333333 0.6494584206848357 0.4974832214765101 0.5086467551622419 0.6507752772693012 0.7
mean 0.6491102840588946 0.6721200944031678 0.7649031465003573 0.4991713498484477 0.5866697321808294 0.502260798825547 0.6378489986731347 0.5608678034679396 0.5039248205149544 0.6366288642267909 0.6623718191300974
