 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.6950005854115444 0.814884562707885 0.8068887634105026 0.6862582781456954 0.7737569676700111 0.605608849710483 0.6451086956521739 0.8395695364238411 0.5226986128625473 0.7025843794355656 0.7868217054263565
cv2 0.727068401860933 0.81563779357897 0.832980855622365 0.7061184939091916 0.8310459506300061 0.5480106279218377 0.6619075910041712 0.7336047037539575 0.5540184215279031 0.7271391470749042 0.8102159468438539
cv3 0.6599655461255196 0.7570126227208976 0.8253332075946184 0.6410575858250277 0.7527890466531441 0.5748207885304659 0.634119686463672 0.7734056987788331 0.5738340103131392 0.7468012794882047 0.7140790205898719
cv4 0.6730217980217981 0.8296181920269512 0.8058670235244401 0.6796482412060301 0.7636125654450261 0.5475970108323049 0.6605805921847075 0.8096733668341709 0.5572782084409991 0.7271006261831949 0.8773914643119941
cv5 0.725587497148072 0.8176835602208736 0.7797120230381569 0.9210526315789473 0.8301462904911181 0.5211678832116788 0.6586162833150785 0.918498743718593 0.5272007091019888 0.7110334420314993 0.8111819953925217
mean 0.6961287657135735 0.8069673462511154 0.8101563746380167 0.7268270461329784 0.7902701641778611 0.5594410320413541 0.6520665697239606 0.8149504099018792 0.5470059924493155 0.7229317748426738 0.7999380265129197
