 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.6443853427895981 0.5802613986739065 0.7058672086720867 0.5 0.5 0.4990990990990991 0.6074408185505843 0.5 0.4991023339317774 0.6127361673414304 0.5294117647058824
cv2 0.6420396090534979 0.5562325353613919 0.783275462962963 0.5 0.4991394148020654 0.5 0.6260568840535119 0.5 0.513163696729178 0.6380336671789165 0.5454545454545454
cv3 0.6380777096114519 0.5923680361654036 0.7056933089500861 0.5 0.5116279069767442 0.4982142857142857 0.6427882628461221 0.5416666666666666 0.5111111111111111 0.6070314542127734 0.53125
cv4 0.6369011624000538 0.5769527919863597 0.7584181902337422 0.5714285714285714 0.4991304347826087 0.5 0.6007831181252989 0.5 0.5 0.6513651457385315 0.5833333333333334
cv5 0.6688917495950011 0.5578400420941858 0.7707632792739176 0.5 0.546875 0.4990990990990991 0.633653750989707 0.5 0.5 0.640388596910336 0.5909090909090909
mean 0.6460591146899206 0.5727309608562494 0.7448034900185592 0.5142857142857142 0.5113545513122837 0.49928249678249675 0.6221445669130449 0.5083333333333333 0.5046754283544133 0.6299110062763976 0.5560717468805704
