 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.694389701207883 0.6817045605637548 0.7504405286343612 0.5308693244739756 0.6415567997110349 0.5401455026455027 0.6342193868509658 0.5366832779623477 0.5663380736910149 0.651239894631665 0.669404761904762
cv2 0.6541962174940898 0.7001660052395404 0.7743736225495883 0.5801296547565205 0.6540940766550523 0.5443128256015877 0.616822708569384 0.565595238095238 0.5541151320812338 0.6749299214087947 0.636372110365399
cv3 0.6440423830467813 0.6740373044524669 0.7613019891500905 0.5942052980132451 0.6469748858447488 0.5462248714352501 0.6086184086184087 0.5950331125827815 0.5389171421483503 0.6776986706564172 0.7189164370982553
cv4 0.6267658276125095 0.7009909632368043 0.7838444924406047 0.5413017215342797 0.6416200516351118 0.533560681458931 0.6090270001244246 0.6283166109253066 0.544774706550549 0.7025027502750275 0.7807059384688767
cv5 0.6561325187969924 0.6525677247797905 0.7626084598698482 0.5404711567502265 0.6216921256454389 0.547911051212938 0.6140129547337501 0.5677564102564103 0.5754317367220593 0.6802559967748437 0.6608430393788131
mean 0.6551053296316512 0.6818933116544713 0.7665138185288987 0.5573954311056495 0.6411875878982773 0.5424309864708419 0.6165400917793866 0.5786769299644168 0.5559153582386415 0.6773254467493497 0.6932484574432212
