 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.6898197399527186 0.6554136253041363 0.758394149951201 0.7142384105960264 0.7816185541574143 0.6009841994486111 0.6316484865183033 0.7696147446563419 0.48770591718037126 0.6731027271935175 0.8326549072817729
cv2 0.6743950816303953 0.6656162744315915 0.7261596555719251 0.7258953168044078 0.7667451596023025 0.5150623511279249 0.6143242433323344 0.8609733700642792 0.5157116177037322 0.710375002095452 0.844041981313196
cv3 0.6742541152263375 0.7556398778644058 0.7314864066193854 0.8087871287128713 0.8050390189520624 0.5389802576262066 0.639514472455649 0.7829761904761905 0.5244259661721629 0.7069531235598813 0.7996428571428571
cv4 0.6877295081967213 0.7162914305771448 0.7399616368286445 0.7135702361077987 0.7962260301917585 0.5842326139088729 0.6343304843304843 0.7930880713489409 0.5247332959011791 0.6993438320209974 0.8724350921273032
cv5 0.6870958929059284 0.669373988127361 0.7103324411888998 0.6164440734557596 0.7612783595113438 0.5848888140161725 0.6400174984419196 0.8740384615384615 0.5235064935064935 0.7030641862919718 0.7393589743589744
mean 0.6826588675824202 0.6924670392609278 0.7332668580320111 0.7157870331353728 0.7821814244829762 0.5648296472255576 0.6319670370157382 0.8161381676168429 0.5152166580927877 0.6985677742323639 0.8176267624448206
