 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.7035255623721881 0.7916166166166166 0.7667062667062667 0.6165831942125765 0.7836187214611872 0.5802070520705207 0.6454899875952507 0.7928807947019867 0.5182035998129968 0.7425061381661455 0.7857441471571907
cv2 0.6897623806351321 0.7917814947201833 0.8033606186499939 0.7218992248062015 0.780106796571268 0.5468988563362429 0.67892704262051 0.7345959595959597 0.5418712014960262 0.7444674965421854 0.6726190476190476
cv3 0.7356534382754097 0.8258522727272728 0.806587028413309 0.6137741046831956 0.8151201461426765 0.5619846878680801 0.6582673579016464 0.7730027548209366 0.619645390070922 0.7021517447843577 0.8993520066889632
cv4 0.6746577421607018 0.7956508232370301 0.8234237889169371 0.5317526344980588 0.7848786828422877 0.5504869807195388 0.6513385787806809 0.7788576198425948 0.5352471368294153 0.6386217948717949 0.7703512396694214
cv5 0.6926748233308723 0.8355885997521686 0.8619654427645789 0.7254832626119755 0.7705426356589147 0.6013986013986015 0.6701244556611243 0.822938689217759 0.5588311688311688 0.7697037870266217 0.6841025641025641
mean 0.6992547893548607 0.8080979614106543 0.812408629090217 0.6418984841624015 0.7868533965352669 0.5681952356785969 0.6608294845118424 0.7804551636358474 0.5547596994081058 0.719490192278221 0.7624338010474373
