 astack nastack pair pucker_C1p_exo pucker_C2p_endo pucker_C2p_exo pucker_C3p_endo pucker_C3p_exo pucker_C4p_exo sasa syn_anti
cv1 0.6860540241201083 0.83847600088476 0.8052009853319897 0.6481788079470199 0.8146558105107328 0.5396249657815494 0.6546846011131725 0.7477222467934542 0.5392599277978339 0.7110343914029772 0.8398822475361577
cv2 0.6987157464212679 0.8026003438020137 0.7924932249322494 0.6802124664021503 0.7372645136485967 0.5673488702235893 0.6469782319805252 0.7248852157943066 0.5128690151327214 0.7050679728108756 0.7614966555183946
cv3 0.7284456520125311 0.7761890118901189 0.7974329703781758 0.7442333785617368 0.796786543395919 0.45547675334909377 0.6207401572865001 0.7673900946021146 0.5343277102455966 0.7073950674019608 0.8202938475665749
cv4 0.688015813015813 0.8365435848252345 0.7976863561969945 0.884933774834437 0.7247404844290657 0.6041369684010454 0.6462650340530358 0.91340820854132 0.5254672417334155 0.7042715288478001 0.7145877378435518
cv5 0.6777105571568844 0.7761128187613844 0.7905397283327323 0.6209789240155297 0.8158843848420196 0.5855772646536412 0.6379321591650359 0.7646247240618101 0.524117093645969 0.7145376971667097 0.8334267040149392
mean 0.695788358545321 0.8059843520327024 0.7966706530344283 0.7157074703521747 0.7778663473652668 0.5504329644817838 0.641320036719654 0.783606097958601 0.5272081977111073 0.7084613315260647 0.7939374384959237
