 sasa astack nastack pair syn_anti pucker_C2p_endo pucker_C3p_endo pucker_C2p_exo pucker_C3p_exo pucker_C1p_exo pucker_C4p_exo
0.0 2496 667 2730 750 3001 2885 976 2779 3004 3013 2771
1.0 572 2401 338 2318 67 183 2092 289 64 55 297
